user_id,item_id,rating
user001,Wisata Alam Datuk,5
user001,WISATA ALAM KASIH,3
user001,Taman Wisata Alam Sibolangit,3
user001,Wisata Alam Sikabung-kabung,2
user001,Bukit Indah Simarjarunjung,1
user001,Bukit Sipisopiso,2
user001,Air Terjun Sigura-Gura,1
user001,Taman Alam Lumbini Berastagi,4
user001,Wisata Batu Katak,2
user001,Kawah Putih Dolok Tinggi Raja,5
user001,Pemandian alam Bah Damanik,1
user001,Wisata Sawah Pematang Johar,5
user001,Air Terjun Sikulikap,1
user001,TAMAN WISATA DANAU SIOMBAK MARELAN,4
user001,Penatapan Simarjarunjung,4
user001,The Waterfall - Taman Simalem Resort,4
user001,Penatapen Doulu,2
user001,Lau mentar canyon,3
user001,Danau Lau Kawar,2
user001,Wisata Alam Fishing-Camp Siarubung,5
user001,Wisata Alam Peken Tebu,1
user001,Wisata Alam Pohon Damai Simempar,3
user001,Bukit Lawang Wisata Alam,1
user001,Danau Toba Parapat,4
user001,Wisata Anugerah Indah Sippan,3
user001,GaBOk,2
user001,Danau Aek Natonang,2
user001,WISATA ALAM PASIR PUTIH PARPAREAN,5
user001,Wisata Alam Paya Sihorkor,4
user001,Geosite Sipinsur,5
user001,Pemandian Alam Gantang Rani,4
user001,Air Terjun Situmurun,2
user001,Wisata Alam Syaakirah The View and Resto,3
user001,Pemandian Alam Sejuk Pas,1
user001,Tanjung Unta,3
user001,Air Terjun Janji,4
user001,Air Terjun Sipisopiso,4
user001,Puncak Huta Ginjang,2
user001,WISATA ALAM BEDENG 7,4
user001,Wisata Alam Sini Suka,3
user001,Taman Eden 100,3
user001,Bukit Senyum,3
user001,Air Terjun Teroh-Teroh Petar,1
user001,T.GARDEN Little Bali in Medan,5
user001,Manigom Nauli,5
user001,Bukit Sipatungan,4
user001,Wisata Alam Tunggul Naga,4
user001,Rekreasi Lau Penda,5
user001,Ekowisata Mangrove Sicanang,5
user001,Puncak Merga Silima,2
user001,Wisata Alam Pantai Geger,4
user001,Pemandian Alam Tirta Sayum Sabah,3
user001,Pemandian kampung gunung,2
user001,Wisata Alam Mangrove Desa Silo Baru,4
user001,Posko Air Terjun Satu Hati (Tibrena),5
user001,Penatapan Pamah Simelir,4
user001,Bukit Doa,2
user001,Wisata Pemandian Alam Swembath (Loc: Sweembat),3
user001,wisata alam pemandian bahbolon huta bayu Desa Bartong,5
user001,Batu Gantung,5
user001,Aek Sijorni,1
user001,TAHURA (Taman Hutan Raya),2
user001,Air Terjun Efrata,2
